epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.2401,1.72819,3.05727,1.59292,0.014,0.46259,0.11941,0.03992,2.41332,3.46548,2.09387,0.00028339,0.00028339,0.00028339
2,158.018,1.60889,2.25364,1.4932,0.66476,0.09794,0.10711,0.04046,2.05565,3.05407,1.80004,0.000564196,0.000564196,0.000564196
3,236.139,1.4935,1.9536,1.42492,0.36369,0.2366,0.19484,0.07256,2.02941,3.2406,1.94742,0.000825198,0.000825198,0.000825198
4,313.696,1.45806,1.9134,1.41319,0.31296,0.20525,0.17191,0.0702,2.10245,2.68831,1.98947,0.0010664,0.0010664,0.0010664
5,414.941,1.50042,1.88064,1.44444,0.23242,0.28557,0.176,0.07674,2.10344,2.91843,1.97816,0.00128779,0.00128779,0.00128779
6,540.204,1.50086,1.80443,1.4312,0.32049,0.28374,0.20384,0.08025,2.24159,3.27003,2.19693,0.00139195,0.00139195,0.00139195
7,610.118,1.44814,1.73459,1.3924,0.27784,0.36621,0.26706,0.1071,2.12916,3.00647,2.13033,0.00133693,0.00133693,0.00133693
8,728.231,1.44644,1.66287,1.35902,0.40645,0.30225,0.30302,0.12944,2.13437,2.41961,1.99472,0.00128192,0.00128192,0.00128192
9,873.138,1.38898,1.61426,1.35162,0.37426,0.37559,0.27258,0.11721,2.13028,2.29568,1.95106,0.00122691,0.00122691,0.00122691
10,964.095,1.35932,1.60154,1.34147,0.33766,0.39527,0.30748,0.12986,2.0259,2.35107,1.8427,0.0011719,0.0011719,0.0011719
11,1045.09,1.33893,1.54878,1.31159,0.32813,0.41589,0.32052,0.14426,1.89301,2.1847,1.78662,0.00111689,0.00111689,0.00111689
12,1198.11,1.32729,1.47724,1.3001,0.37032,0.31118,0.27884,0.10762,1.97499,2.30699,1.97224,0.00106188,0.00106188,0.00106188
13,1368.84,1.27798,1.4586,1.29252,0.31803,0.44771,0.28195,0.12491,1.82163,2.30623,1.80703,0.00100687,0.00100687,0.00100687
14,1524.88,1.27101,1.42659,1.2724,0.32447,0.45408,0.3097,0.14377,1.88655,2.17662,1.74697,0.000951857,0.000951857,0.000951857
15,1665.79,1.20729,1.39221,1.25508,0.36517,0.44408,0.34014,0.16401,1.76195,2.02514,1.66324,0.000896846,0.000896846,0.000896846
16,1817.15,1.21953,1.36729,1.25062,0.47756,0.3465,0.32034,0.1499,1.79475,2.07,1.67842,0.000841835,0.000841835,0.000841835
17,1987.8,1.1752,1.30613,1.20816,0.44615,0.4162,0.35554,0.16441,1.75318,1.95564,1.66417,0.000786824,0.000786824,0.000786824
18,2134.11,1.14704,1.28785,1.20793,0.43172,0.43815,0.35962,0.17251,1.75045,2.01447,1.65642,0.000731813,0.000731813,0.000731813
19,2302.41,1.17203,1.29187,1.23019,0.45194,0.45166,0.40463,0.19745,1.69367,1.91594,1.62556,0.000676802,0.000676802,0.000676802
20,2550.57,1.13567,1.23063,1.20987,0.43652,0.51078,0.41375,0.21058,1.71971,1.82305,1.63738,0.000621791,0.000621791,0.000621791
21,2734.85,1.19999,1.46057,1.28944,0.48437,0.4383,0.40424,0.20127,1.73444,1.95646,1.67549,0.00056678,0.00056678,0.00056678
22,2880.34,1.2121,1.40883,1.25077,0.39653,0.36281,0.33934,0.16273,1.78501,2.18883,1.68396,0.000511769,0.000511769,0.000511769
23,3040.13,1.08901,1.34168,1.21628,0.48017,0.42336,0.40405,0.19352,1.75292,1.95337,1.69392,0.000456758,0.000456758,0.000456758
24,3222.16,1.04717,1.23182,1.17613,0.57499,0.38316,0.41127,0.20005,1.70369,1.93906,1.67046,0.000401747,0.000401747,0.000401747
25,3382.87,1.07001,1.20658,1.18305,0.55264,0.39316,0.40553,0.19193,1.70038,2.00243,1.67547,0.000346736,0.000346736,0.000346736
26,3543.69,1.06317,1.19496,1.19003,0.53482,0.42888,0.43051,0.19989,1.67245,2.043,1.64995,0.000291725,0.000291725,0.000291725
27,3674.35,1.04503,1.1385,1.14666,0.53317,0.42073,0.45429,0.22195,1.67116,1.98299,1.6579,0.000236714,0.000236714,0.000236714
28,3810.64,1.02962,1.15948,1.15864,0.51003,0.48429,0.45867,0.23057,1.64276,1.91592,1.64678,0.000181703,0.000181703,0.000181703
29,3953.7,0.99927,1.12668,1.14791,0.5042,0.47369,0.45671,0.23258,1.63417,1.93018,1.63168,0.000126692,0.000126692,0.000126692
30,4140.13,1.01218,1.12116,1.16714,0.51567,0.47438,0.44742,0.23404,1.63067,1.91121,1.6299,7.1681e-05,7.1681e-05,7.1681e-05
